session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train4,picture_file
train4,list1,33,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train4,list1,34,Baum_gruen,Baum,gruen,3,HFP,SN,ncblock,nature,Baum_gross,baum_gross.png
train4,list1,35,Bild_alt,Bild,alt,5,HFP,SN,ncblock,furniture,Bild_neu,bild_neu.png
train4,list1,36,Blume_neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume_neu,blume_neu.png
train4,list1,37,Bombe_alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe_alt,bombe_alt.png
train4,list1,38,Brille_neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille_neu,brille_neu.png
train4,list1,39,Buch_neu,Buch,neu,12,HFP,SP,ncblock,etc,Buch_neu,buch_neu.png
train4,list1,40,Dach_rot,Dach,rot,15,HFP,SN,ncblock,building,Dach_alt,dach_alt.png
train4,list1,41,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train4,list1,42,Fahrrad_alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad_alt,fahrrad_alt.png
train4,list1,43,Feder_weiss,Feder,weiss,20,HFP,SN,ncblock,etc,Feder_klein,feder_klein.png
train4,list1,44,Frau_schwarz,Frau,schwarz,23,HFP,SN,ncblock,human,Frau_klein,frau_klein.png
train4,list1,45,Geschenk_klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk_klein,geschenk_klein.png
train4,list1,46,Haus_alt,Haus,alt,26,HFP,SN,ncblock,building,Haus_neu,haus_neu.png
train4,list1,47,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train4,list1,48,Kamera_gross,Kamera,gross,32,LFP,SP,ncblock,tool,Kamera_gross,kamera_gross.png
train4,list1,49,Kerze_klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze_klein,kerze_klein.png
train4,list1,50,Kirche_alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche_alt,kirche_alt.png
train4,list1,51,Krone_klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone_klein,krone_klein.png
train4,list1,52,Lampe_gross,Lampe,gross,37,LFP,SN,ncblock,furniture,Lampe_klein,lampe_klein.png
train4,list1,53,Nest_gruen,Nest,gruen,41,LFP,SN,ncblock,building,Nest_gross,nest_gross.png
train4,list1,54,Palast_gross,Palast,gross,43,HFP,SP,ncblock,building,Palast_gross,palast_gross.png
train4,list1,55,Pfeil_gross,Pfeil,gross,44,LFP,SN,ncblock,etc,Pfeil_neu,pfeil_neu.png
train4,list1,56,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train4,list1,57,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train4,list1,58,Schale_alt,Schale,alt,49,LFP,SN,ncblock,tool,Schale_neu,schale_neu.png
train4,list1,59,Schuh_rot,Schuh,rot,50,HFP,SN,ncblock,clothing,Schuh_gross,schuh_gross.png
train4,list1,60,Stadion_neu,Stadion,neu,51,HFP,SN,ncblock,building,Stadion_alt,stadion_alt.png
train4,list1,61,Teppich_klein,Teppich,klein,53,LFP,SN,ncblock,furniture,Teppich_gross,teppich_gross.png
train4,list1,62,Tomate_neu,Tomate,neu,55,LFP,SN,ncblock,vegetable,Tomate_gross,tomate_gross.png
train4,list1,63,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,ncblock,etc,Zeitung_neu,zeitung_neu.png
train4,list1,64,Zelt_klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt_klein,zelt_klein.png
train4,list1,65,Zug_gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug_gross,zug_gross.png
train4,list1,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel_klein,zwiebel_klein.png
