session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train5,picture_file
train5,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train5,list1,2,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train5,list1,3,Bild_alt,Bild,alt,5,HFP,SN,cblock,furniture,Bild_weiss,bild_weiss.png
train5,list1,4,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train5,list1,5,Brief_gross,Brief,gross,9,LFP,SN,cblock,tool,Brief_gruen,brief_gruen.png
train5,list1,6,Brot_alt,Brot,alt,11,HFP,SN,cblock,food,Brot_weiss,brot_weiss.png
train5,list1,7,Burg_rot,Burg,rot,13,LFP,SN,cblock,building,Burg_weiss,burg_weiss.png
train5,list1,8,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train5,list1,9,Dach_rot,Dach,rot,15,HFP,SN,cblock,building,Dach_gruen,dach_gruen.png
train5,list1,10,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train5,list1,11,Feder_weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder_rot,feder_rot.png
train5,list1,12,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train5,list1,13,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug_schwarz,flugzeug_schwarz.png
train5,list1,14,Frau_schwarz,Frau,schwarz,23,HFP,SN,cblock,human,Frau_gruen,frau_gruen.png
train5,list1,15,Haus_alt,Haus,alt,26,HFP,SN,cblock,building,Haus_gruen,haus_gruen.png
train5,list1,16,Hose_schwarz,Hose,schwarz,29,HFP,SN,cblock,clothing,Hose_rot,hose_rot.png
train5,list1,17,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train5,list1,18,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train5,list1,19,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train5,list1,20,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train5,list1,21,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,cblock,clothing,Mantel_rot,mantel_rot.png
train5,list1,22,Paket_gross,Paket,gross,42,HFP,SN,cblock,etc,Paket_gruen,paket_gruen.png
train5,list1,23,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train5,list1,24,Schale_alt,Schale,alt,49,LFP,SN,cblock,tool,Schale_schwarz,schale_schwarz.png
train5,list1,25,Tasse_neu,Tasse,neu,52,LFP,SN,cblock,tool,Tasse_gruen,tasse_gruen.png
train5,list1,26,Teppich_klein,Teppich,klein,53,LFP,SN,cblock,furniture,Teppich_gruen,teppich_gruen.png
train5,list1,27,Topf_schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf_rot,topf_rot.png
train5,list1,28,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train5,list1,29,Uhr_klein,Uhr,klein,59,LFP,SN,cblock,tool,Uhr_rot,uhr_rot.png
train5,list1,30,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train5,list1,31,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train5,list1,32,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
train5,list1,33,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,cblock,vegetable,Zwiebel_weiss,zwiebel_weiss.png
