session,subj,trialNr,phrase_item,adj,noun,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train5,picture_file
train5,S01,33,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train5,S01,34,Brille_neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille_neu,brille_neu.png
train5,S01,35,Glas_neu,Glas,neu,25,HFP,SN,ncblock,tool,Glas_gross,glas_gross.png
train5,S01,36,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train5,S01,37,Geschenk_klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk_klein,geschenk_klein.png
train5,S01,38,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train5,S01,39,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train5,S01,40,Tomate_neu,Tomate,neu,55,LFP,SN,ncblock,vegetable,Tomate_klein,tomate_klein.png
train5,S01,41,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train5,S01,42,Brief_gross,Brief,gross,9,LFP,SN,ncblock,tool,Brief_neu,brief_neu.png
train5,S01,43,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel_alt,zwiebel_alt.png
train5,S01,44,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train5,S01,45,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train5,S01,46,Schuh_rot,Schuh,rot,50,HFP,SN,ncblock,clothing,Schuh_alt,schuh_alt.png
train5,S01,47,Rock_klein,Rock,klein,47,LFP,SN,ncblock,clothing,Rock_alt,rock_alt.png
train5,S01,48,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train5,S01,49,Tisch_gruen,Tisch,gruen,54,HFP,SN,ncblock,furniture,Tisch_gross,tisch_gross.png
train5,S01,50,Schale_alt,Schale,alt,49,LFP,SN,ncblock,tool,Schale_neu,schale_neu.png
train5,S01,51,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train5,S01,52,Uhr_klein,Uhr,klein,59,LFP,SN,ncblock,tool,Uhr_alt,uhr_alt.png
train5,S01,53,Blume_neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume_neu,blume_neu.png
train5,S01,54,Stadion_neu,Stadion,neu,51,HFP,SN,ncblock,building,Stadion_klein,stadion_klein.png
train5,S01,55,Bombe_alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe_alt,bombe_alt.png
train5,S01,56,Tisch_gruen,Tisch,gruen,54,HFP,SN,ncblock,furniture,Tisch_klein,tisch_klein.png
train5,S01,57,Pfeil_gross,Pfeil,gross,44,LFP,SN,ncblock,etc,Pfeil_neu,pfeil_neu.png
train5,S01,58,Fahrrad_alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad_alt,fahrrad_alt.png
train5,S01,59,Zug_gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug_gross,zug_gross.png
train5,S01,60,Krone_klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone_klein,krone_klein.png
train5,S01,61,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,ncblock,transportation,Flugzeug_alt,flugzeug_alt.png
train5,S01,62,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train5,S01,63,Hemd_weiss,Hemd,weiss,27,HFP,SN,ncblock,clothing,Hemd_gross,hemd_gross.png
train5,S01,64,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train5,S01,65,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train5,S01,66,Kirche_alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche_alt,kirche_alt.png
