session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train2,picture_file
train2,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train2,list1,2,Baum_gruen,Baum,gruen,3,HFP,SN,cblock,nature,Baum_weiss,baum_weiss.png
train2,list1,3,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train2,list1,4,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train2,list1,5,Brief_gross,Brief,gross,9,LFP,SN,cblock,tool,Brief_rot,brief_rot.png
train2,list1,6,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train2,list1,7,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train2,list1,8,Fabrik_rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik_schwarz,fabrik_schwarz.png
train2,list1,9,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train2,list1,10,Haus_alt,Haus,alt,26,HFP,SN,cblock,building,Haus_rot,haus_rot.png
train2,list1,11,Hemd_weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd_rot,hemd_rot.png
train2,list1,12,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train2,list1,13,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train2,list1,14,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train2,list1,15,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train2,list1,16,Mauer_gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer_rot,mauer_rot.png
train2,list1,17,Nest_gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest_rot,nest_rot.png
train2,list1,18,Pfeil_gross,Pfeil,gross,44,LFP,SN,cblock,etc,Pfeil_weiss,pfeil_weiss.png
train2,list1,19,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train2,list1,20,Rock_klein,Rock,klein,47,LFP,SN,cblock,clothing,Rock_rot,rock_rot.png
train2,list1,21,Schuh_rot,Schuh,rot,50,HFP,SN,cblock,clothing,Schuh_gruen,schuh_gruen.png
train2,list1,22,Stadion_neu,Stadion,neu,51,HFP,SN,cblock,building,Stadion_weiss,stadion_weiss.png
train2,list1,23,Teppich_klein,Teppich,klein,53,LFP,SN,cblock,furniture,Teppich_weiss,teppich_weiss.png
train2,list1,24,Tisch_gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch_weiss,tisch_weiss.png
train2,list1,25,Tomate_neu,Tomate,neu,55,LFP,SN,cblock,vegetable,Tomate_schwarz,tomate_schwarz.png
train2,list1,26,Tuer_neu,Tuer,neu,57,HFP,SN,cblock,building,Tuer_weiss,tuer_weiss.png
train2,list1,27,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train2,list1,28,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train2,list1,29,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train2,list1,30,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung_rot,zeitung_rot.png
train2,list1,31,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
train2,list1,32,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,cblock,vegetable,Zwiebel_gruen,zwiebel_gruen.png
