session,subj,trialNr,itemNr,phrase_item,adj,noun,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
,S01,56,51,Stadion-neu,Stadion,neu,HFP,SN,ncblock,building,Stadion-neu,stadion_neu.png
,S01,57,66,Zwiebel-neu,Zwiebel,neu,LFP,SN,ncblock,vegetable,Zwiebel-neu,zwiebel_neu.png
,S01,58,49,Schale-alt,Schale,alt,LFP,SN,ncblock,tool,Schale-alt,schale_alt.png
,S01,59,17,Erde-gross,Erde,gross,LFP,SP,ncblock,nature,Erde-gross,erde_gross.png
,S01,60,57,Tuer-neu,Tuer,neu,HFP,SN,ncblock,building,Tuer-neu,tuer_neu.png
,S01,61,36,Krone-klein,Krone,klein,LFP,SP,ncblock,etc,Krone-klein,krone_klein.png
,S01,62,5,Bild-alt,Bild,alt,HFP,SN,ncblock,furniture,Bild-alt,bild_alt.png
,S01,63,46,Rad-neu,Rad,neu,HFP,SN,ncblock,etc,Rad-neu,rad_neu.png
,S01,64,19,Fahrrad-alt,Fahrrad,alt,HFP,SP,ncblock,transportation,Fahrrad-alt,fahrrad_alt.png
,S01,65,59,Uhr-klein,Uhr,klein,LFP,SN,ncblock,tool,Uhr-klein,uhr_klein.png
,S01,66,44,Pfeil-gross,Pfeil,gross,LFP,SN,ncblock,etc,Pfeil-gross,pfeil_gross.png
