session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train3,list1,2,Baum_gruen,Baum,gruen,3,HFP,SN,cblock,nature,Baum_rot,baum_rot.png
train3,list1,3,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train3,list1,4,Bild_alt,Bild,alt,5,HFP,SN,cblock,furniture,Bild_rot,bild_rot.png
train3,list1,5,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train3,list1,6,Brot_alt,Brot,alt,11,HFP,SN,cblock,food,Brot_schwarz,brot_schwarz.png
train3,list1,7,Burg_rot,Burg,rot,13,LFP,SN,cblock,building,Burg_schwarz,burg_schwarz.png
train3,list1,8,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train3,list1,9,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train3,list1,10,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train3,list1,11,Flugzeug_weiss,Flugzeug,weiss,22,LFP,SN,cblock,transportation,Flugzeug_rot,flugzeug_rot.png
train3,list1,12,Hemd_weiss,Hemd,weiss,27,HFP,SN,cblock,clothing,Hemd_gruen,hemd_gruen.png
train3,list1,13,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train3,list1,14,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train3,list1,15,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train3,list1,16,Lampe_gross,Lampe,gross,37,LFP,SN,cblock,furniture,Lampe_schwarz,lampe_schwarz.png
train3,list1,17,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train3,list1,18,Nest_gruen,Nest,gruen,41,LFP,SN,cblock,building,Nest_schwarz,nest_schwarz.png
train3,list1,19,Pfeil_gross,Pfeil,gross,44,LFP,SN,cblock,etc,Pfeil_schwarz,pfeil_schwarz.png
train3,list1,20,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train3,list1,21,Schale_alt,Schale,alt,49,LFP,SN,cblock,tool,Schale_weiss,schale_weiss.png
train3,list1,22,Stadion_neu,Stadion,neu,51,HFP,SN,cblock,building,Stadion_rot,stadion_rot.png
train3,list1,23,Tasse_neu,Tasse,neu,52,LFP,SN,cblock,tool,Tasse_schwarz,tasse_schwarz.png
train3,list1,24,Tisch_gruen,Tisch,gruen,54,HFP,SN,cblock,furniture,Tisch_rot,tisch_rot.png
train3,list1,25,Tomate_neu,Tomate,neu,55,LFP,SN,cblock,vegetable,Tomate_weiss,tomate_weiss.png
train3,list1,26,Topf_schwarz,Topf,schwarz,56,LFP,SN,cblock,tool,Topf_weiss,topf_weiss.png
train3,list1,27,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train3,list1,28,Uhr_klein,Uhr,klein,59,LFP,SN,cblock,tool,Uhr_weiss,uhr_weiss.png
train3,list1,29,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train3,list1,30,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train3,list1,31,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
