session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train3,picture_file
train3,list1,32,Ball_neu,Ball,neu,2,LFP,SP,ncblock,tool,Ball_neu,ball_neu.png
train3,list1,33,Blume_neu,Blume,neu,7,LFP,SP,ncblock,nature,Blume_neu,blume_neu.png
train3,list1,34,Bombe_alt,Bombe,alt,8,LFP,SP,ncblock,etc,Bombe_alt,bombe_alt.png
train3,list1,35,Brief_gross,Brief,gross,9,LFP,SN,ncblock,tool,Brief_klein,brief_klein.png
train3,list1,36,Brille_neu,Brille,neu,10,HFP,SP,ncblock,etc,Brille_neu,brille_neu.png
train3,list1,37,Buch_neu,Buch,neu,12,HFP,SP,ncblock,etc,Buch_neu,buch_neu.png
train3,list1,38,Dach_rot,Dach,rot,15,HFP,SN,ncblock,building,Dach_gross,dach_gross.png
train3,list1,39,Erde_gross,Erde,gross,17,LFP,SP,ncblock,nature,Erde_gross,erde_gross.png
train3,list1,40,Fabrik_rot,Fabrik,rot,18,LFP,SN,ncblock,building,Fabrik_klein,fabrik_klein.png
train3,list1,41,Fahrrad_alt,Fahrrad,alt,19,HFP,SP,ncblock,transportation,Fahrrad_alt,fahrrad_alt.png
train3,list1,42,Feder_weiss,Feder,weiss,20,HFP,SN,ncblock,etc,Feder_alt,feder_alt.png
train3,list1,43,Frau_schwarz,Frau,schwarz,23,HFP,SN,ncblock,human,Frau_neu,frau_neu.png
train3,list1,44,Geschenk_klein,Geschenk,klein,24,HFP,SP,ncblock,etc,Geschenk_klein,geschenk_klein.png
train3,list1,45,Glas_neu,Glas,neu,25,HFP,SN,ncblock,tool,Glas_gross,glas_gross.png
train3,list1,46,Haus_alt,Haus,alt,26,HFP,SN,ncblock,building,Haus_gross,haus_gross.png
train3,list1,47,Herd_neu,Herd,neu,28,HFP,SP,ncblock,tool,Herd_neu,herd_neu.png
train3,list1,48,Hose_schwarz,Hose,schwarz,29,HFP,SN,ncblock,clothing,Hose_gross,hose_gross.png
train3,list1,49,Kamera_gross,Kamera,gross,32,LFP,SP,ncblock,tool,Kamera_gross,kamera_gross.png
train3,list1,50,Kerze_klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze_klein,kerze_klein.png
train3,list1,51,Kirche_alt,Kirche,alt,34,HFP,SP,ncblock,building,Kirche_alt,kirche_alt.png
train3,list1,52,Krone_klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone_klein,krone_klein.png
train3,list1,53,Mantel_schwarz,Mantel,schwarz,39,HFP,SN,ncblock,clothing,Mantel_klein,mantel_klein.png
train3,list1,54,Mauer_gruen,Mauer,gruen,40,LFP,SN,ncblock,building,Mauer_klein,mauer_klein.png
train3,list1,55,Paket_gross,Paket,gross,42,HFP,SN,ncblock,etc,Paket_neu,paket_neu.png
train3,list1,56,Palast_gross,Palast,gross,43,HFP,SP,ncblock,building,Palast_gross,palast_gross.png
train3,list1,57,Rad_alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad_alt,rad_alt.png
train3,list1,58,Rock_klein,Rock,klein,47,LFP,SN,ncblock,clothing,Rock_alt,rock_alt.png
train3,list1,59,Rose_neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose_neu,rose_neu.png
train3,list1,60,Schuh_rot,Schuh,rot,50,HFP,SN,ncblock,clothing,Schuh_neu,schuh_neu.png
train3,list1,61,Teppich_klein,Teppich,klein,53,LFP,SN,ncblock,furniture,Teppich_alt,teppich_alt.png
train3,list1,62,Tuer_neu,Tuer,neu,57,HFP,SN,ncblock,building,Tuer_alt,tuer_alt.png
train3,list1,63,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,ncblock,etc,Zeitung_klein,zeitung_klein.png
train3,list1,64,Zelt_klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt_klein,zelt_klein.png
train3,list1,65,Zug_gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug_gross,zug_gross.png
train3,list1,66,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel_gross,zwiebel_gross.png
