session,list1,trialNr,phrase_item,noun,adjective,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_train6,picture_file
train6,list1,1,Apfel_rot,Apfel,rot,1,HFP,SP,cblock,food,Apfel_rot,apfel_rot.png
train6,list1,2,Bett_gruen,Bett,gruen,4,LFP,SP,cblock,furniture,Bett_gruen,bett_gruen.png
train6,list1,3,Blatt_gruen,Blatt,gruen,6,HFP,SP,cblock,nature,Blatt_gruen,blatt_gruen.png
train6,list1,4,Brief_gross,Brief,gross,9,LFP,SN,cblock,tool,Brief_weiss,brief_weiss.png
train6,list1,5,Bus_schwarz,Bus,schwarz,14,LFP,SP,cblock,transportation,Bus_schwarz,bus_schwarz.png
train6,list1,6,Ei_gruen,Ei,gruen,16,LFP,SP,cblock,food,Ei_gruen,ei_gruen.png
train6,list1,7,Fabrik_rot,Fabrik,rot,18,LFP,SN,cblock,building,Fabrik_gruen,fabrik_gruen.png
train6,list1,8,Feder_weiss,Feder,weiss,20,HFP,SN,cblock,etc,Feder_gruen,feder_gruen.png
train6,list1,9,Flagge_schwarz,Flagge,schwarz,21,HFP,SP,cblock,etc,Flagge_schwarz,flagge_schwarz.png
train6,list1,10,Glas_neu,Glas,neu,25,HFP,SN,cblock,tool,Glas_schwarz,glas_schwarz.png
train6,list1,11,Haus_alt,Haus,alt,26,HFP,SN,cblock,building,Haus_weiss,haus_weiss.png
train6,list1,12,Hut_schwarz,Hut,schwarz,30,HFP,SP,cblock,clothing,Hut_schwarz,hut_schwarz.png
train6,list1,13,Kaffee_schwarz,Kaffee,schwarz,31,HFP,SP,cblock,food,Kaffee_schwarz,kaffee_schwarz.png
train6,list1,14,Kleid_weiss,Kleid,weiss,35,HFP,SP,cblock,clothing,Kleid_weiss,kleid_weiss.png
train6,list1,15,Lampe_gross,Lampe,gross,37,LFP,SN,cblock,furniture,Lampe_gruen,lampe_gruen.png
train6,list1,16,Mann_gruen,Mann,gruen,38,LFP,SP,cblock,human,Mann_gruen,mann_gruen.png
train6,list1,17,Mauer_gruen,Mauer,gruen,40,LFP,SN,cblock,building,Mauer_weiss,mauer_weiss.png
train6,list1,18,Paket_gross,Paket,gross,42,HFP,SN,cblock,etc,Paket_rot,paket_rot.png
train6,list1,19,Pfeil_gross,Pfeil,gross,44,LFP,SN,cblock,etc,Pfeil_rot,pfeil_rot.png
train6,list1,20,Pflanze_rot,Pflanze,rot,45,LFP,SP,cblock,nature,Pflanze_rot,pflanze_rot.png
train6,list1,21,Schale_alt,Schale,alt,49,LFP,SN,cblock,tool,Schale_rot,schale_rot.png
train6,list1,22,Schuh_rot,Schuh,rot,50,HFP,SN,cblock,clothing,Schuh_schwarz,schuh_schwarz.png
train6,list1,23,Stadion_neu,Stadion,neu,51,HFP,SN,cblock,building,Stadion_schwarz,stadion_schwarz.png
train6,list1,24,Tasse_neu,Tasse,neu,52,LFP,SN,cblock,tool,Tasse_weiss,tasse_weiss.png
train6,list1,25,Teppich_klein,Teppich,klein,53,LFP,SN,cblock,furniture,Teppich_schwarz,teppich_schwarz.png
train6,list1,26,Tomate_neu,Tomate,neu,55,LFP,SN,cblock,vegetable,Tomate_rot,tomate_rot.png
train6,list1,27,Turm_weiss,Turm,weiss,58,LFP,SP,cblock,building,Turm_weiss,turm_weiss.png
train6,list1,28,Wolke_rot,Wolke,rot,60,LFP,SP,cblock,nature,Wolke_rot,wolke_rot.png
train6,list1,29,Wueste_rot,Wueste,rot,61,LFP,SP,cblock,nature,Wueste_rot,wueste_rot.png
train6,list1,30,Zeitung_schwarz,Zeitung,schwarz,62,LFP,SN,cblock,etc,Zeitung_gruen,zeitung_gruen.png
train6,list1,31,Zweig_weiss,Zweig,weiss,65,LFP,SP,cblock,nature,Zweig_weiss,zweig_weiss.png
train6,list1,32,Zwiebel_neu,Zwiebel,neu,66,LFP,SN,cblock,vegetable,Zwiebel_schwarz,zwiebel_schwarz.png
