session,subj,trialNr,phrase_item,noun,adj,itemNr,condition_phrFreq,condition_exposure,blocktype,category,phrase_pretrain,picture_file
Pretrain,S01,51,Lampe-gross,Lampe,gross,37,LFP,SN,ncblock,furniture,Lampe-gross,lampe_gross.png
Pretrain,S01,52,Kerze-klein,Kerze,klein,33,HFP,SP,ncblock,etc,Kerze-klein,kerze_klein.png
Pretrain,S01,53,Stadion-neu,Stadion,neu,51,HFP,SN,ncblock,building,Stadion-neu,stadion_neu.png
Pretrain,S01,54,Schale-alt,Schale,alt,49,LFP,SN,ncblock,tool,Schale-alt,schale_alt.png
Pretrain,S01,55,Krone-klein,Krone,klein,36,LFP,SP,ncblock,etc,Krone-klein,krone_klein.png
Pretrain,S01,56,Tuer-neu,Tuer,neu,57,HFP,SN,ncblock,building,Tuer-neu,tuer_neu.png
Pretrain,S01,57,Zwiebel-neu,Zwiebel,neu,66,LFP,SN,ncblock,vegetable,Zwiebel-neu,zwiebel_neu.png
Pretrain,S01,58,Tasse-neu,Tasse,neu,52,LFP,SN,ncblock,tool,Tasse-neu,tasse_neu.png
Pretrain,S01,59,Rose-neu,Rose,neu,48,LFP,SP,ncblock,nature,Rose-neu,rose_neu.png
Pretrain,S01,60,Zelt-klein,Zelt,klein,63,HFP,SP,ncblock,building,Zelt-klein,zelt_klein.png
Pretrain,S01,61,Paket-gross,Paket,gross,42,HFP,SN,ncblock,etc,Paket-gross,paket_gross.png
Pretrain,S01,62,Teppich-klein,Teppich,klein,53,LFP,SN,ncblock,furniture,Teppich-klein,teppich_klein.png
Pretrain,S01,63,Pfeil-gross,Pfeil,gross,44,LFP,SN,ncblock,etc,Pfeil-gross,pfeil_gross.png
Pretrain,S01,64,Zug-gross,Zug,gross,64,HFP,SP,ncblock,transportation,Zug-gross,zug_gross.png
Pretrain,S01,65,Uhr-klein,Uhr,klein,59,LFP,SN,ncblock,tool,Uhr-klein,uhr_klein.png
Pretrain,S01,66,Rad-alt,Rad,alt,46,LFP,SP,ncblock,etc,Rad-alt,rad_alt.png
